sample,threshold,window,inference,horizon,beta_VRP,beta_deltaVRP,R2,N,t_VRP,t_deltaVRP,se_deltaVRP
FULL_1990_end,0.9,504,HAC,3,0.2386122303789895,0.1054902721330328,0.0208447967676063,411,0.904417829527581,0.410345350766836,0.257076806002303
FULL_1990_end,0.9,504,HAC,6,0.210716891328992,0.0858086145768748,0.0117032616006746,408,0.7428372846311817,0.2335232358577142,0.367452147798937
FULL_1990_end,0.95,504,HAC,1,0.1622470085543489,0.190003789106757,0.0107874931565484,413,1.0173163251548552,0.8152693321743444,0.2330564656467722
FULL_1990_end,0.95,504,HAC,3,0.682772230938688,0.7813372166652702,0.0496831445118289,411,3.395515203662427,2.4227528684900186,0.3224997591901475
FULL_1990_end,0.95,504,HAC,6,0.8741082213970965,1.1021811565268205,0.0387107079621844,408,3.6226574208810622,2.1835368632257537,0.5047687424422782
FULL_1990_end,0.85,756,HAC,1,0.0783593792490681,0.04871432903267,0.0078054754665005,401,0.5836313678737033,0.8943212891572723,0.0544707250328056
FULL_1990_end,0.85,756,HAC,3,0.2980849653970407,0.1487244602371029,0.0273231735736457,399,1.0820014568932428,1.4145817793894828,0.1051367000508734
FULL_1990_end,0.85,756,HAC,6,0.3387260068344978,0.2179852692238608,0.0188843319197234,396,1.047347525115343,1.430125893111929,0.1524238322470539
FULL_1990_end,0.9,756,HAC,1,0.0961627414330818,0.0886284943705492,0.0080459027028146,401,0.6462055315698575,0.5877634357211479,0.1507893975436014
FULL_1990_end,0.9,756,HAC,3,0.3210919442165313,0.2220821315321468,0.0254525171853902,399,1.1218248089789262,0.8452061646233211,0.2627549831361217
FULL_1990_end,0.9,756,HAC,6,0.3594928094273804,0.305466827649382,0.0163820013869947,396,1.0632419691696309,0.8174201917606913,0.3736962100133817
FULL_1990_end,0.95,756,HAC,1,0.0647939261551207,0.0622548091832778,0.0064212624980909,401,0.4954526525664376,0.2997973045203442,0.2076563339449677
FULL_1990_end,0.95,756,HAC,3,0.2951478762128859,0.2838204406880826,0.0260002370348542,399,1.3144350188487208,1.1725615389152593,0.2420516376058573
FULL_1990_end,0.95,756,HAC,6,0.236659997497006,0.1798376928251114,0.0127119565363857,396,0.9528773920543494,0.4804949649883575,0.3742759153146776
FULL_1990_end,0.85,252,Hodrick,1,-0.0333192064128548,-0.1511583309196311,0.0089097343379429,424,-0.2270653943075724,-0.7728602625804347,
FULL_1990_end,0.85,252,Hodrick,3,0.0133839381233852,-0.3353765520575488,0.0264032457055432,422,0.0476150472405609,-1.668586175713234,
FULL_1990_end,0.85,252,Hodrick,6,-0.0948003897054639,-0.5170178050248991,0.0188083722797471,419,-0.3832898306330454,-1.533730075984295,
FULL_1990_end,0.9,252,Hodrick,1,0.1572499013547138,0.1744234014059434,0.0099914127070163,424,1.0428825069168275,0.792175899196294,
FULL_1990_end,0.9,252,Hodrick,3,0.7461944990929995,0.8568925978498804,0.0615730641795212,422,3.4243902791300105,7.735506918138513,
FULL_1990_end,0.9,252,Hodrick,6,0.8888681436155952,1.0998132220104575,0.0435240845776188,419,3.951435056009171,2.7241700609339508,
FULL_1990_end,0.95,252,Hodrick,1,0.0201299277298436,-0.0584696009298181,0.0055091273392384,424,0.1436712740990978,-0.2872365041978035,
FULL_1990_end,0.95,252,Hodrick,3,0.4549381245596313,0.7288827999736923,0.0423512777883818,422,1.8564350867828352,2.9632422423053937,
FULL_1990_end,0.95,252,Hodrick,6,0.468057737042449,0.8106648960646183,0.0244932690735459,419,1.8077304318151932,1.2758273700699925,
FULL_1990_end,0.85,504,Hodrick,1,-0.001630206385963,-0.0564793034778673,0.0068046031733979,413,-0.0104011236490909,-0.4781805126437862,
FULL_1990_end,0.85,504,Hodrick,3,0.235286958282517,0.0805199581624894,0.0208587225978019,411,0.6312446153943717,0.3013155364143793,
FULL_1990_end,0.85,504,Hodrick,6,0.3633672181739116,0.2799173070057749,0.0156816864791928,408,0.8997425289277806,0.7680569780208225,
FULL_1990_end,0.9,504,Hodrick,1,0.0604539035885288,0.0362276907967342,0.0059888352083112,413,0.4130113745973878,0.1758321582259846,
FULL_1990_end,0.9,504,Hodrick,3,0.2386122303789895,0.1054902721330328,0.0208447967676063,411,0.8466034129859882,0.4979653722586731,
FULL_1990_end,0.9,504,Hodrick,6,0.210716891328992,0.0858086145768748,0.0117032616006746,408,0.7847394983451461,0.2457513978705353,
FULL_1990_end,0.95,504,Hodrick,1,0.1622470085543489,0.190003789106757,0.0107874931565484,413,1.017316325154887,0.8152693321743532,
FULL_1990_end,0.95,504,Hodrick,3,0.682772230938688,0.7813372166652702,0.0496831445118289,411,3.5192317978833056,2.998206126018129,
FULL_1990_end,0.95,504,Hodrick,6,0.8741082213970965,1.1021811565268205,0.0387107079621844,408,3.7020708115832495,2.05776256876332,
FULL_1990_end,0.85,756,Hodrick,1,0.0783593792490681,0.04871432903267,0.0078054754665005,401,0.5836313678737038,0.8943212891572738,
FULL_1990_end,0.85,756,Hodrick,3,0.2980849653970407,0.1487244602371029,0.0273231735736457,399,0.9995969302823038,1.244717279001861,
FULL_1990_end,0.85,756,Hodrick,6,0.3387260068344978,0.2179852692238608,0.0188843319197234,396,1.00596528008853,1.2959388681092434,
FULL_1990_end,0.9,756,Hodrick,1,0.0961627414330818,0.0886284943705492,0.0080459027028146,401,0.6462055315698618,0.5877634357211489,
